selected_feature,score
hippo_L_over_brain,0.24573515786507505
cnn_pred_061,0.22473845026083694
cnn_prob_AD,0.2185879406316973
hippo_total_over_brain,0.2059170783208275
hippo_R_over_brain,0.19554576650334865
hippo_L_mm3,0.18351545584672624
roi_p25,0.171696109029007
hippo_total_mm3,0.1319779211208465
roi_p05,0.11310692176085246
hippo_R_mm3,0.1110010393850469
roi_kurtosis,0.1037762279255181
roi_p01,0.0904214106726886
